initialRelayScenario,sensorScenario,NmbrofSensors,Algorithm,smin,fmin,NmbrofFcal,RunTime
Uniformly Distributed,Uniformly Distributed,6,Monte Carlo,"(0.44,0.34)",1.46392140373059,100,0.8835
Uniformly Distributed,Uniformly Distributed,6,l2,"(0.43,0.39)",1.39758589920533,126,32.5983
Uniformly Distributed,Uniformly Distributed,6,Nelder-Mead Simplex,"(0.43,0.39)",1.3873931099946,94,1.2519
Uniformly Distributed,Uniformly Distributed,6,Log Barrier,"(0.15,0.94)",4.73609495899242,0,0.1146
Uniformly Distributed,Uniformly Distributed,12,Monte Carlo,"(0.55,0.52)",2.59769878372214,100,0.8006
Uniformly Distributed,Uniformly Distributed,12,l2,"(0.51,0.49)",2.52010312475542,86,24.8031
Uniformly Distributed,Uniformly Distributed,12,Nelder-Mead Simplex,"(0.51,0.49)",2.52010314214433,106,2.4859
Uniformly Distributed,Uniformly Distributed,12,Log Barrier,"(0.15,0.94)",7.52337359728934,0,0.1287
Uniformly Distributed,Uniformly Distributed,24,Monte Carlo,"(0.43,0.6)",5.13597331728978,100,0.8304
Uniformly Distributed,Uniformly Distributed,24,l2,"(0.43,0.51)",4.76413935959708,128,45.0963
Uniformly Distributed,Uniformly Distributed,24,Nelder-Mead Simplex,"(0.43,0.51)",4.7641393727412,76,1.2155
Uniformly Distributed,Uniformly Distributed,24,Log Barrier,"(0.15,0.94)",12.2508108874828,0,0.1518
Uniformly Distributed,Uniformly Distributed,48,Monte Carlo,"(0.48,0.5)",8.66574038740567,100,0.8934
Uniformly Distributed,Uniformly Distributed,48,l2,"(0.46,0.47)",8.60714333547046,212,84.7371
Uniformly Distributed,Uniformly Distributed,48,Nelder-Mead Simplex,"(0.46,0.47)",8.6071433645556,79,1.4344
Uniformly Distributed,Uniformly Distributed,48,Log Barrier,"(0.15,0.94)",25.142296839268,0,0.3111
Uniformly Distributed,Uniformly Distributed,96,Monte Carlo,"(0.46,0.47)",16.2237417433583,100,1.4831
Uniformly Distributed,Uniformly Distributed,96,l2,"(0.47,0.49)",16.1449395748312,274,158.2369
Uniformly Distributed,Uniformly Distributed,96,Nelder-Mead Simplex,"(0.47,0.49)",16.1417648545673,87,3.5796
Uniformly Distributed,Uniformly Distributed,96,Log Barrier,"(0.15,0.94)",46.6817393143575,0,0.5009
Uniformly Distributed,Uniformly Distributed,192,Monte Carlo,"(0.52,0.45)",32.3922510567504,100,2.7798
Uniformly Distributed,Uniformly Distributed,192,l2,"(0.5,0.51)",31.5882176627032,277,241.8926
Uniformly Distributed,Uniformly Distributed,192,Nelder-Mead Simplex,"(0.5,0.51)",31.5862607577324,83,4.7674
Uniformly Distributed,Uniformly Distributed,192,Log Barrier,"(0.15,0.94)",92.2942710507966,0,2.6811
Uniformly Distributed,Uniformly Distributed,384,Monte Carlo,"(0.52,0.51)",64.5065061237954,100,5.0257
Uniformly Distributed,Uniformly Distributed,384,l2,"(0.51,0.51)",64.3702958774977,265,420.0786
Uniformly Distributed,Uniformly Distributed,384,Nelder-Mead Simplex,"(0.51,0.51)",64.3702964276269,79,6.1973
Uniformly Distributed,Uniformly Distributed,384,Log Barrier,"(0.15,0.94)",189.001972890286,0,3.103
Uniformly Distributed,Clustered - Corner,3,Monte Carlo,"(0.27,0.29)",0.233599129306831,100,0.317
Uniformly Distributed,Clustered - Corner,3,l2,"(0.24,0.26)",0.222002880852689,84,23.5373
Uniformly Distributed,Clustered - Corner,3,Nelder-Mead Simplex,"(0.26,0.25)",0.216849188102532,90,2.0662
Uniformly Distributed,Clustered - Corner,3,Log Barrier,"(0.15,0.94)",2.3802747055929,0,0.0933
Uniformly Distributed,Clustered - Corner,6,Monte Carlo,"(0.3,0.29)",0.275876835087673,100,0.6558
Uniformly Distributed,Clustered - Corner,6,l2,"(0.3,0.26)",0.269719335976649,105,27.8271
Uniformly Distributed,Clustered - Corner,6,Nelder-Mead Simplex,"(0.3,0.26)",0.264197000472264,92,1.1929
Uniformly Distributed,Clustered - Corner,6,Log Barrier,"(0.15,0.94)",3.88714377520138,0,0.0813
Uniformly Distributed,Clustered - Corner,12,Monte Carlo,"(0.17,0.16)",0.722427327295019,100,0.5505
Uniformly Distributed,Clustered - Corner,12,l2,"(0.26,0.22)",0.573547167653866,150,45.5941
Uniformly Distributed,Clustered - Corner,12,Nelder-Mead Simplex,"(0.26,0.22)",0.573547175389625,58,1.7931
Uniformly Distributed,Clustered - Corner,12,Log Barrier,"(0.15,0.94)",8.22694961504985,0,0.1391
Uniformly Distributed,Clustered - Corner,24,Monte Carlo,"(0.17,0.23)",1.047596157958,100,1.1426
Uniformly Distributed,Clustered - Corner,24,l2,"(0.21,0.2)",0.961309331040091,171,55.7893
Uniformly Distributed,Clustered - Corner,24,Nelder-Mead Simplex,"(0.21,0.2)",0.961309356274039,71,2.0934
Uniformly Distributed,Clustered - Corner,24,Log Barrier,"(0.15,0.94)",15.4352480211476,0,0.234
Uniformly Distributed,Clustered - Corner,48,Monte Carlo,"(0.15,0.2)",2.36478039563086,100,0.9387
Uniformly Distributed,Clustered - Corner,48,l2,"(0.21,0.19)",2.18827083050516,150,60.5691
Uniformly Distributed,Clustered - Corner,48,Nelder-Mead Simplex,"(0.21,0.19)",2.18827090072633,69,1.4316
Uniformly Distributed,Clustered - Corner,48,Log Barrier,"(0.15,0.94)",31.0986880839639,0,0.3662
Uniformly Distributed,Clustered - Corner,96,Monte Carlo,"(0.2,0.18)",5.81532075825983,100,2.6896
Uniformly Distributed,Clustered - Corner,96,l2,"(0.23,0.18)",5.74568511730806,169,105.3728
Uniformly Distributed,Clustered - Corner,96,Nelder-Mead Simplex,"(0.23,0.18)",5.745685206855,65,2.8894
Uniformly Distributed,Clustered - Corner,96,Log Barrier,"(0.15,0.94)",62.5810660339956,0,0.818
Uniformly Distributed,Clustered - Corner,192,Monte Carlo,"(0.19,0.22)",11.9121125291621,100,2.2426
Uniformly Distributed,Clustered - Corner,192,l2,"(0.21,0.2)",11.7397927454122,283,262.0235
